,Total Contributions,Max Give,Months Since Last Donation,Most Recent Give Amount,Number of Gives,Average Give Amount,strong envir support,very pro-gun control,dems in red seats,house races,gives in primaries,supports AZ campaigns,strong pp support,moderate dems,Networth,female,gender unsure,male,isWhite,isJewish,isAfam,isLatinx,isIrish,isAsian,Ethnicity unsure
77,25.0,250,19,100,6,136.66666666666666,1,0,1,0,0,0,0,0,13.20192289143554,0,1,0,1,0,0,0,0,0,0
78,25.0,100,19,100,3,75.33333333333333,0,0,0,0,0,0,0,0,13.553400061295012,0,0,1,1,0,0,0,0,0,0
79,25.0,250,46,100,8,176.25,0,0,0,0,0,0,0,1,14.11718354946319,0,0,1,1,0,0,0,0,0,0
80,25.0,300,46,300,9,49.44444444444444,0,0,0,0,1,0,0,0,13.659897142193548,0,0,1,0,1,0,0,0,0,0
81,25.0,101,71,101,2,100.5,0,0,0,0,0,0,0,0,12.975928520574694,1,0,0,1,0,0,0,0,0,0
82,30.0,500,71,5,15,71.93333333333334,0,0,0,0,0,0,0,0,13.564723419213236,1,0,0,1,0,0,0,0,0,0
83,37.0,1750,71,100,8,518.25,0,1,1,0,0,0,0,0,13.934961535165792,1,0,0,1,0,0,0,0,0,0
84,40.0,1001,71,1001,10,285.4,1,0,0,0,0,0,0,0,13.84778605499604,0,0,1,1,0,0,0,0,0,0
85,40.0,500,71,500,11,107.9090909090909,0,0,0,0,0,1,0,0,13.783996154781091,0,0,1,1,0,0,0,0,0,0
86,300.0,1000,71,1000,8,401.75,0,0,1,0,1,1,0,0,14.673575812771311,1,0,0,1,0,0,0,0,0,0
87,50.0,150,71,15,8,91.25,0,0,1,0,0,0,0,0,15.195832620358862,0,0,1,1,0,0,0,0,0,0
88,50.0,1000,71,100,30,206.76666666666668,0,0,1,0,0,0,1,0,15.385421054216527,0,0,1,0,0,1,0,0,0,0
89,50.0,1100,71,5,26,202.80769230769232,1,0,1,0,0,0,0,1,14.746609505011731,0,0,1,1,0,0,0,0,0,0
90,50.0,250,71,200,4,162.5,0,0,1,0,0,0,0,1,14.557389805767963,0,0,1,1,0,0,0,0,0,0
91,50.0,7500,71,7500,22,664.9090909090909,1,1,0,0,0,0,0,0,14.721798629616103,1,0,0,1,0,0,0,0,0,0
92,50.0,500,71,100,15,225.0,0,0,1,0,1,1,0,0,13.862432311073679,0,0,1,1,0,0,0,0,0,0
93,50.0,400,71,100,7,167.14285714285714,0,0,1,0,0,0,0,0,14.057270150506842,0,0,1,0,0,1,0,0,0,0
94,50.0,17500,71,17500,10,1781.2,0,0,0,0,1,0,0,0,14.341469690342887,1,0,0,0,0,1,0,0,0,0
95,50.0,150,71,20,9,87.77777777777777,0,0,0,0,1,0,1,0,13.687303252913592,0,0,1,1,0,0,0,0,0,0
96,50.0,500,71,15,13,157.69230769230768,0,1,1,0,1,1,0,0,13.556699672760248,0,1,0,1,0,0,0,0,0,0
97,50.0,520,71,520,5,244.6,0,0,0,0,0,1,0,0,14.02562398472566,1,0,0,1,0,0,0,0,0,0
98,50.0,20,71,20,2,20.0,0,0,0,0,0,0,0,0,13.399545012722223,0,0,1,1,0,0,0,0,0,0
99,50.0,175,111,175,3,175.0,0,0,0,0,0,0,0,0,13.232055099829676,0,0,1,1,0,0,0,0,0,0
100,50.0,250,18,250,6,133.33333333333334,0,0,0,0,0,0,0,0,14.167437749140348,1,0,0,0,1,0,0,0,0,0
101,50.0,250,14,250,6,132.16666666666666,0,0,0,0,0,0,0,0,14.6484688101273,0,0,1,1,0,0,0,0,0,0
102,50.0,180,24,180,3,110.0,0,0,0,1,0,0,0,0,12.676707325621434,0,1,0,1,0,0,0,0,0,0
